Data;Produto;Quantidade;Valor;Região
01/01/2024;Marcador;64;59.26;Pernambuco
01/01/2024;Régua;33;87.81;Piauí
01/01/2024;Lápis;26;7.67;Rio Grande do Sul
01/01/2024;Caderno;15;28.42;Distrito Federal
01/01/2024;Borracha;120;9.35;São Paulo
01/01/2024;Caneta;86;45.84;Paraná
01/01/2024;Caneta;71;51.59;Rio de Janeiro
01/01/2024;Lápis;55;119.24;Sergipe
01/01/2024;Estojo;4;129.1;Amazonas
01/01/2024;Caderno;78;167.46;Paraná
01/01/2024;Marcador;78;166.17;Rondônia
02/01/2024;Lápis;84;124.83;Mato Grosso
02/01/2024;Agenda;81;7.77;Mato Grosso
02/01/2024;Caneta;75;26.12;Mato Grosso
02/01/2024;Marcador;6;15.97;Ceará
02/01/2024;Caneta;73;97.91;Paraíba
02/01/2024;Lápis;15;107.73;Mato Grosso do Sul
02/01/2024;Régua;54;143.31;Rio de Janeiro
02/01/2024;Borracha;20;109.17;Rio Grande do Sul
02/01/2024;Régua;84;105.98;Rio de Janeiro
02/01/2024;Caderno;63;47.96;Paraná
02/01/2024;Lápis;84;17.19;Rio Grande do Sul
02/01/2024;Estojo;83;184.2;Rondônia
02/01/2024;Régua;34;182.08;Santa Catarina
02/01/2024;Régua;99;140.21;Maranhão
03/01/2024;Borracha;86;141.76;Pará
03/01/2024;Lápis;12;73.18;Piauí
03/01/2024;Lápis;49;66.94;Espírito Santo
03/01/2024;Caderno;92;13.81;Tocantins
03/01/2024;Lápis;68;71.6;Santa Catarina
04/01/2024;Caneta;51;96.72;Espírito Santo
04/01/2024;Marcador;98;26.42;Minas Gerais
04/01/2024;Estojo;15;192.01;Santa Catarina
04/01/2024;Caderno;3;95.06;Bahia
04/01/2024;Estojo;95;129.93;Pernambuco
04/01/2024;Caderno;50;169.78;Alagoas
04/01/2024;Agenda;65;109.53;Piauí
04/01/2024;Marcador;12;176.2;Mato Grosso
04/01/2024;Lápis;20;65.39;Maranhão
04/01/2024;Caderno;61;91.73;Mato Grosso do Sul
04/01/2024;Estojo;79;159.76;Rio Grande do Sul
04/01/2024;Caderno;26;26.59;Espírito Santo
04/01/2024;Caderno;86;133.65;Rio de Janeiro
04/01/2024;Caneta;56;41.82;Alagoas
05/01/2024;Caderno;10;60.73;Piauí
05/01/2024;Agenda;49;23.67;Paraná
05/01/2024;Régua;46;105.02;Alagoas
05/01/2024;Caneta;4;97.43;Mato Grosso
05/01/2024;Agenda;150;146.16;São Paulo
05/01/2024;Agenda;41;63.47;Roraima
05/01/2024;Marcador;15;161.39;Mato Grosso
06/01/2024;Lápis;78;163.18;Pará
06/01/2024;Estojo;59;109.6;Alagoas
06/01/2024;Estojo;200;144.41;São Paulo
06/01/2024;Borracha;10;189.37;Santa Catarina
06/01/2024;Estojo;36;175.34;Mato Grosso
06/01/2024;Agenda;65;78.95;Acre
06/01/2024;Régua;35;168.7;Tocantins
07/01/2024;Borracha;78;57.05;Paraíba
07/01/2024;Borracha;85;153.96;Sergipe
07/01/2024;Lápis;4;72.37;Mato Grosso
07/01/2024;Caneta;86;18.48;Tocantins
07/01/2024;Estojo;84;133.03;Minas Gerais
07/01/2024;Agenda;94;151.89;Rio Grande do Norte
07/01/2024;Lápis;79;167.28;Mato Grosso do Sul
07/01/2024;Régua;12;156.28;Roraima
07/01/2024;Estojo;150;137.4;Minas Gerais
07/01/2024;Lápis;87;89.55;Goiás
07/01/2024;Marcador;23;50.77;Espírito Santo
08/01/2024;Borracha;30;75.73;Mato Grosso
08/01/2024;Borracha;18;134.35;Rio Grande do Sul
08/01/2024;Caneta;50;53.95;Paraíba
08/01/2024;Marcador;75;34.25;Alagoas
08/01/2024;Lápis;18;27.52;Piauí
08/01/2024;Caneta;100;169.89;Rio Grande do Norte
08/01/2024;Marcador;94;28.21;Santa Catarina
08/01/2024;Caneta;6;173.36;Pará
08/01/2024;Lápis;40;176.36;Rio Grande do Sul
08/01/2024;Agenda;9;8.24;Distrito Federal
08/01/2024;Régua;65;89.86;Alagoas
09/01/2024;Borracha;64;148.11;Rio de Janeiro
09/01/2024;Agenda;73;198.18;Bahia
09/01/2024;Marcador;66;75.98;Amapá
09/01/2024;Borracha;46;111.17;Pará
09/01/2024;Marcador;21;198.41;Amapá
10/01/2024;Borracha;98;7.14;Acre
10/01/2024;Lápis;95;78.18;Distrito Federal
10/01/2024;Lápis;80;71.56;Pernambuco
10/01/2024;Agenda;40;114.94;Santa Catarina
10/01/2024;Lápis;31;111.12;Distrito Federal
10/01/2024;Estojo;58;57.87;Rio de Janeiro
11/01/2024;Caneta;62;61.28;Rio Grande do Sul
11/01/2024;Régua;33;176.19;Amazonas
11/01/2024;Lápis;26;119.34;Piauí
11/01/2024;Lápis;89;116.23;Tocantins
11/01/2024;Régua;89;146.04;Pernambuco
11/01/2024;Estojo;37;42.13;Goiás
11/01/2024;Caneta;48;115.37;Amapá
11/01/2024;Caneta;84;110.74;Paraná
11/01/2024;Borracha;250;140.64;São Paulo
12/01/2024;Estojo;53;128.25;Paraíba
12/01/2024;Marcador;7;122.78;Bahia
12/01/2024;Agenda;12;151.43;Roraima
12/01/2024;Marcador;11;11.15;Roraima
12/01/2024;Agenda;57;76.88;Paraná
12/01/2024;Borracha;184;190.97;Rio de Janeiro
12/01/2024;Régua;13;117.28;Rondônia
12/01/2024;Caneta;22;16.97;Maranhão
13/01/2024;Agenda;9;24.16;Distrito Federal
13/01/2024;Marcador;87;151.48;Roraima
13/01/2024;Borracha;97;159.65;Rondônia
13/01/2024;Marcador;68;119.32;Amapá
13/01/2024;Régua;37;171.43;Piauí
13/01/2024;Borracha;24;102.79;Ceará
13/01/2024;Régua;77;155.53;Acre
13/01/2024;Régua;47;161.78;Bahia
13/01/2024;Caderno;97;125.9;Bahia
13/01/2024;Borracha;11;112.87;Rio Grande do Norte
14/01/2024;Caderno;10;127.91;Minas Gerais
14/01/2024;Borracha;92;140.08;Sergipe
14/01/2024;Caneta;92;19.37;Ceará
14/01/2024;Régua;41;37.8;Tocantins
14/01/2024;Marcador;88;95.4;Alagoas
14/01/2024;Estojo;34;118.1;Rio Grande do Norte
14/01/2024;Caderno;49;11.29;Acre
14/01/2024;Caneta;72;178.27;Espírito Santo
14/01/2024;Borracha;68;151.81;Bahia
14/01/2024;Caderno;81;90.97;Paraná
14/01/2024;Caderno;46;184.61;Piauí
14/01/2024;Agenda;48;33.89;Maranhão
15/01/2024;Caneta;39;138.94;Pará
15/01/2024;Caderno;13;195.28;Amapá
15/01/2024;Agenda;36;79.41;Distrito Federal
15/01/2024;Lápis;23;150.86;Amapá
15/01/2024;Agenda;60;148.74;Santa Catarina
15/01/2024;Marcador;39;138.35;Rondônia
16/01/2024;Lápis;33;81.81;Rio Grande do Norte
16/01/2024;Régua;3;164.15;Paraná
16/01/2024;Estojo;9;173.36;Rio de Janeiro
16/01/2024;Agenda;77;17.62;Santa Catarina
16/01/2024;Caderno;3;40.52;Paraíba
16/01/2024;Marcador;85;54.19;Paraná
16/01/2024;Caneta;69;43.12;Pernambuco
16/01/2024;Estojo;8;133.74;Espírito Santo
16/01/2024;Caneta;20;13.35;Distrito Federal
16/01/2024;Borracha;40;133.54;Pernambuco
16/01/2024;Caneta;61;195.05;Rondônia
16/01/2024;Régua;85;101.9;Distrito Federal
16/01/2024;Marcador;35;51.49;Rio Grande do Norte
17/01/2024;Caderno;83;111.83;Goiás
17/01/2024;Lápis;74;73.99;Ceará
17/01/2024;Régua;63;91.64;Amapá
17/01/2024;Borracha;50;89.09;Amazonas
