Data,Produto,Quantidade,Valor,Região
01/01/2024,Lápis,421,132.9,Santa Catarina
01/01/2024,Agenda,867,260.36,Rio de Janeiro
01/01/2024,Lápis,711,343.15,Rio de Janeiro
01/01/2024,Caneta,244,89.69,Santa Catarina
01/01/2024,Caneta,467,465.96,Espírito Santo
01/01/2024,Borracha,482,192.53,São Paulo
01/01/2024,Estojo,194,81.56,Minas Gerais
01/01/2024,Caderno,368,180.41,Rio de Janeiro
01/01/2024,Caderno,128,53.55,Rio Grande do Sul
01/01/2024,Borracha,179,59.64,Santa Catarina
01/01/2024,Lápis,245,76.85,Rio de Janeiro
01/01/2024,Lápis,789,161.6,Rio de Janeiro
01/01/2024,Lápis,182,174.53,Goiás
01/01/2024,Borracha,816,383.11,Minas Gerais
02/01/2024,Estojo,354,181.77,Rio de Janeiro
02/01/2024,Borracha,266,220.53,Rio Grande do Sul
02/01/2024,Lápis,394,265.96,Espírito Santo
02/01/2024,Borracha,762,534.77,Espírito Santo
02/01/2024,Lápis,185,82.49,Distrito Federal
02/01/2024,Lápis,212,46.58,São Paulo
02/01/2024,Caneta,138,130.67,Santa Catarina
02/01/2024,Borracha,148,14.2,Espírito Santo
02/01/2024,Caneta,287,212.46,Rio Grande do Sul
02/01/2024,Lápis,61,34.36,Mato Grosso
02/01/2024,Lápis,875,591.6,Minas Gerais
02/01/2024,Lápis,146,61.83,Paraná
03/01/2024,Caneta,212,149.39,Espírito Santo
03/01/2024,Lápis,315,106.24,Rio de Janeiro
03/01/2024,Lápis,458,369.09,Minas Gerais
03/01/2024,Lápis,997,134.91,Minas Gerais
03/01/2024,Caderno,295,178.15,Rio Grande do Sul
03/01/2024,Lápis,943,413.15,Minas Gerais
03/01/2024,Caneta,836,812.11,Minas Gerais
03/01/2024,Lápis,58,41.14,Bahia
03/01/2024,Borracha,942,135.99,São Paulo
03/01/2024,Borracha,801,517.2,Rio de Janeiro
03/01/2024,Caderno,645,518.17,Rio de Janeiro
03/01/2024,Borracha,137,40.42,Rio de Janeiro
04/01/2024,Borracha,769,678.26,São Paulo
04/01/2024,Caneta,96,15.41,Rio Grande do Sul
04/01/2024,Caderno,147,68.04,Mato Grosso
04/01/2024,Caderno,60,39.86,Santa Catarina
04/01/2024,Lápis,606,357.78,Minas Gerais
05/01/2024,Borracha,281,109.69,Rio Grande do Sul
05/01/2024,Borracha,104,46.65,Rio Grande do Sul
05/01/2024,Lápis,61,6.08,Mato Grosso do Sul
05/01/2024,Caneta,17,9.22,Tocantins
05/01/2024,Estojo,11,4.61,Roraima
05/01/2024,Lápis,135,52.42,Rio Grande do Sul
05/01/2024,Lápis,668,228.69,São Paulo
05/01/2024,Borracha,152,112.3,Goiás
06/01/2024,Lápis,906,492.8,Minas Gerais
06/01/2024,Caneta,517,260.94,Espírito Santo
06/01/2024,Borracha,90,33.33,Goiás
06/01/2024,Lápis,36,9.69,Paraíba
06/01/2024,Lápis,280,159.77,Espírito Santo
06/01/2024,Borracha,829,191.89,Espírito Santo
06/01/2024,Lápis,578,155.82,São Paulo
06/01/2024,Estojo,491,415.8,Paraná
06/01/2024,Borracha,116,66.09,Goiás
06/01/2024,Borracha,843,575.05,Rio de Janeiro
06/01/2024,Caderno,210,88.82,São Paulo
06/01/2024,Borracha,675,646.81,Minas Gerais
06/01/2024,Caneta,179,106.54,Minas Gerais
06/01/2024,Borracha,333,260.21,Espírito Santo
07/01/2024,Borracha,597,581.44,Rio de Janeiro
07/01/2024,Caneta,47,21.69,Maranhão
07/01/2024,Estojo,241,124.48,Rio Grande do Sul
07/01/2024,Lápis,179,53.89,Goiás
07/01/2024,Estojo,926,229.1,Espírito Santo
07/01/2024,Caneta,956,145.07,São Paulo
08/01/2024,Agenda,799,253.56,São Paulo
08/01/2024,Borracha,633,146.68,Minas Gerais
08/01/2024,Estojo,378,172.53,Minas Gerais
08/01/2024,Lápis,938,305.08,São Paulo
08/01/2024,Estojo,374,29.91,Santa Catarina
08/01/2024,Lápis,67,32.91,Santa Catarina
08/01/2024,Borracha,891,122.9,Rio de Janeiro
08/01/2024,Estojo,372,358.4,Rio de Janeiro
08/01/2024,Lápis,414,24.84,Santa Catarina
09/01/2024,Caderno,297,170.96,Rio de Janeiro
09/01/2024,Caderno,57,5.24,Sergipe
09/01/2024,Borracha,114,33.5,São Paulo
